contest,caption,mean,precision,votes,not_funny,somewhat_funny,funny,has_question_mark,ends_with_punctuation,caption_length
728,"Loosen up, dude - it's the weekend.",1.6238057324840764,0.0151277619293722,2512,1372,713,427,False,True,35
728,"Yeah, I”m blond and stunning! So, for your next wish, my friend, try to remember English is gender-neutral...",1.623467600700525,0.022232984449401,1142,618,336,188,False,True,109
728,You have to self-isolate for 14 days.,1.6226583407671722,0.0156639797243594,2242,1199,690,353,False,True,37
728,"I know you're desperate to get away from it all, Dr. Fauci, but I was here first.",1.6209302325581396,0.0207165160912424,1290,694,391,205,False,True,81
728,Actually I completed the census online.,1.6160535117056856,0.0189210177862698,1495,797,475,223,False,True,39
728,Looks like two of us now know where Americans can travel.,1.6138415245737212,0.0236268892892082,997,544,294,159,False,True,57
728,I filed by bottle.,1.6138297872340426,0.0245231922569881,940,517,269,154,False,True,18
728,Have you traveled outside the country in the past 14 days?,1.6133209990749309,0.022487270558742,1081,585,329,167,True,True,58
728,Surprised you came in. Most people are just working remote.,1.6096752816434725,0.0182883789080934,1509,790,518,201,False,True,59
728,"And to think, working hard your whole life got you to the same place as me.",1.6087336244541486,0.0216630860346069,1145,619,355,171,False,True,75
728,I.R.S. snap audit. I came for your records.,1.6073361395069152,0.0186232265213708,1663,934,448,281,False,True,43
728,Did you have any trouble finding the place?,1.6059957173447537,0.0191396156787945,1401,744,465,192,True,True,43
728,Let me guess.  Canada wouldn't let you in.,1.6019760056457304,0.0189629530595563,1417,755,471,191,False,True,42
728,"Dude, You're a census worker? Righteous!",1.6018099547511313,0.0177265526656185,1768,983,506,279,True,True,40
728,Were you voted off the other island?,1.594179466451091,0.0202066799145018,1237,665,409,163,True,True,36
728,"I was hoping you'd be meatier than the last few, if I'm being honest.",1.591481122942885,0.0233975026542677,1033,589,277,167,False,True,69
728,No worries.  It's a paper straw.,1.5903698534542916,0.0195530678647585,1433,806,408,219,False,True,32
728,Stop whining. You're lucky you got here at low tide.',1.589185393258427,0.0188587028780944,1424,773,463,188,False,False,53
728,...and this is whats left of California. So hows New York?,1.5875883739198744,0.0202878989329985,1273,704,390,179,True,True,58
728,Chill. Things could be worse. You could have a fly on your head,1.5872667398463227,0.0249198010178909,911,523,241,147,False,False,63
728,2020 census taker. Glad I found you in.,1.5848119233498936,0.0193409932651092,1409,785,424,200,False,True,39
728,Your mother sent me.,1.5819607843137256,0.0213466811047516,1275,751,309,215,False,True,20
728,"Refills in paradise are free, but they're self serve.",1.58125,0.0212541388601484,1280,756,310,214,False,True,53
728,"Sorry, pal. No shoe, no service.",1.5809090909090908,0.021899972840478,1100,618,326,156,False,True,32
728,"Wait, start from the beginning. What has happened in 2020 so far?",1.5802861685214626,0.0209854673622002,1258,723,340,195,True,True,65
728,We’ve been trying to reach you about your cars extended warranty.,1.5771604938271604,0.0238133537975177,972,560,263,149,False,True,65
728,"For the thousandth time Gary, no I am not looking for a scalable push marketing solution with a proven track record and best-in-class customer support.",1.577092511013216,0.0221417395323406,1135,657,301,177,False,True,151
728,Any trouble finding the place?,1.5769944341372912,0.021588642369797,1078,595,344,139,True,True,30
728,Please tell me you’re gay.,1.576043068640646,0.0275174210067509,743,433,192,118,False,True,26
728,I hope there are more little umbrellas in that briefcase.,1.574742268041237,0.0208853931872632,1164,648,363,153,False,True,57
728,"If it's not a bother, could you come back tomorrow?",1.573,0.0229171594268617,1000,567,293,140,True,True,51
728,Don't tell me; another lucky winner of a free Marriott weekend,1.570759137769447,0.0224136314493812,1067,613,299,155,False,False,62
728,So every vote really counts?,1.5690104166666667,0.0267130411125759,768,447,205,116,True,True,28
728,The meeting was yesterday,1.5683987274655355,0.0234225387572648,943,535,280,128,False,False,25
728,You the new staff?,1.5676657584014533,0.0229197495873169,1101,664,252,185,True,True,18
728,"Look, you saved your laptop and the annual report.  I saved my suntan lotion and a bottle of rum.  That's what they mean by 'survival of the fittest'.",1.5672981056829511,0.0227948728683361,1003,572,293,138,False,True,150
728,Do I look like I need flood insurance?,1.56710775047259,0.0221715729342337,1058,603,310,145,True,True,38
728,"And at that moment, Sheldon started to question if the money for the census job was really worth it.",1.5668912415784408,0.0229714413629721,1039,607,275,157,False,True,100
728,I told him his spray on tan looked a little orange.  What did you do?,1.5638709677419356,0.0270400339500581,775,462,189,124,True,True,69
728,Great... another washed-up salesman.,1.5636042402826855,0.0300728369031391,566,322,169,75,False,True,36
728,"Sorry, check in is not until four o'clock.",1.5621181262729125,0.0226384174342153,982,556,300,126,False,True,42
728,Been here since 2015. Did I miss anything?,1.56187624750499,0.0226081680506922,1002,572,297,133,True,True,42
728,"Welcome, we've only had one confirmed case of COVID.",1.5608646188850968,0.025261472556157,879,524,217,138,False,True,52
728,My usual sun and mojito hallucinations wear high heels.,1.558139534883721,0.0242407244809462,860,491,258,111,False,True,55
728,"Try this, dude. I bet we can patent it.",1.5554445554445555,0.0247499548869471,1001,631,186,184,False,True,39
728,"I'll listen to your proposal, Jenkins, but only because I'm impressed that you made it past both the sharks and my executive assistant.",1.5544554455445545,0.0237753163727939,909,526,262,121,False,True,135
728,Six feet separation bro.,1.5537974683544304,0.0229840950783107,948,543,285,120,False,True,24
728,Did you bring ice?,1.551685393258427,0.0229882478469588,890,498,293,99,True,True,18
728,"I don't need any life insurance, but I could use an end table.""",1.5515239477503628,0.0271888707509217,689,399,200,90,False,False,63
728,John began to rethink his work at the Census Bureau,1.551047120418848,0.0257662772272568,764,442,223,99,False,False,51
728,I guessing you really did lose all your money therefore this was the biggest island you could buy ? Not exactly what it says in my contract and non-disclosure agreement !!!,1.5508021390374331,0.0270573737912713,935,624,107,204,True,True,172
728,Weren't you my cart-boy on the ship?,1.5485651214128036,0.0250464701630294,906,554,207,145,True,True,36
728,Mind taking off your shoe before you come in?,1.5471923536439665,0.0248869412248136,837,492,232,113,True,True,45
728,Welcome to the corner of Beach and More Beach,1.546910755148741,0.0247285508427876,874,521,228,125,False,False,45
728,"Man, you census workers are relentless!",1.5457920792079207,0.0250848393315266,808,472,231,105,False,True,39
728,So I guess this means it's November 4th.,1.545219638242894,0.0263024720982279,774,463,200,111,False,True,40
728,Are you the new guy?,1.5451219512195122,0.0245065202393152,820,473,247,100,True,True,20
728,Don't be afraid of being shipwrecked. Don't let it dominate your life.,1.545112781954887,0.0261788667183893,798,482,197,119,False,True,70
728,"On the plus side, you won’t have to change your Zoom backdrop",1.5444579780755177,0.02442491715317,821,473,249,99,False,False,61
728,When your mental self meets your actual self .,1.544280442804428,0.0313637087248728,542,324,141,77,False,True,46
728,"The Wifi is weak, but the Mai Tais are strong.",1.5437665782493368,0.0252176111388562,754,431,236,87,False,True,46
728,"One more and we could have a mirage-a-trois.""",1.541193181818182,0.027519397810455,704,423,181,100,False,False,45
728,STAYING LONG?,1.5401730531520397,0.0255567548604578,809,485,211,113,True,True,13
728,The IRS finally catches up with Trump's tax attorney.,1.539797395079595,0.0276931608756496,691,415,179,97,False,True,53
728,"Tell him again that I’m not his Vice President any more. We lost. It’s over, man.",1.5390946502057614,0.0265157555775598,729,432,201,96,False,True,81
728,Welcome. This used  to be Mar-a-Lago Club before global warming.,1.5388739946380696,0.026739386483073,746,450,190,106,False,True,64
728,Welcome to Florida 2050,1.5384615384615383,0.0267512320439276,689,402,203,84,False,False,23
728,Sorry but the chair gets reserved really early in the morning.,1.5371069182389938,0.0255991476417245,795,476,211,108,False,True,62
728,Jehovah Witness?,1.5369595536959553,0.026269478432568,717,420,209,88,True,True,16
728,"You Census takers sure are persistent! Okay, her's your answer - one.",1.5356164383561643,0.0267771392797845,730,439,191,100,False,True,69
728,You got your two wishes: a sexy blond and a cool tropical beverage. What's your third wish?,1.5353218210361068,0.0273232462478109,637,368,197,72,True,True,91
728,You don’t look like my 3rd wish...,1.5340086830680173,0.0269366509107808,691,409,195,87,False,True,34
728,"You can ditch the tie; it's casual dress only.""",1.5336927223719676,0.0253259425648875,742,430,228,84,False,False,47
728,Welcome Mr. Crusoe. Please call me Casual Friday.,1.531502423263328,0.0281964310132058,619,365,179,75,False,True,49
728,"Oh, and the wifi password is ""sand.""",1.5297709923664122,0.0279719471709319,655,394,175,86,False,False,36
728,So you're Trump's tax attorney. You look like you need a drink.,1.5292207792207793,0.0277378002213264,616,359,188,69,False,True,63
728,"I’m sorry, we aren’t accepting any more American refugees.",1.5288808664259927,0.0303414472932465,554,333,149,72,False,True,58
728,You’re lucky this island is 7ft long.,1.528301886792453,0.0281524163637551,689,427,160,102,False,True,37
728,"Right  now I need a waiter more than a lawyer""",1.5268505079825834,0.0268505079825834,689,411,193,85,False,False,46
728,"If you're here about the boat, it's been sold.",1.5251046025104602,0.0333240391749165,478,294,117,67,False,True,46
728,It's just me at this address. Are all census-takers this dedicated?,1.5235294117647058,0.0276745924339645,680,416,172,92,True,True,67
728,Apparently not remote enough.,1.523465703971119,0.0295874710926266,554,329,160,65,False,True,29
728,"Dude, you're looking a little washed up.",1.5232558139534884,0.0286113460867068,602,360,169,73,False,True,40
728,Please tell me you're at least bisexual.,1.522962962962963,0.0272727882060827,675,407,183,85,False,True,40
728,Bond..... James Bond.....,1.5208655332302936,0.028749858512955,647,402,153,92,False,True,25
728,Take off your shoe and stay awhile.,1.5203252032520325,0.0310431052354317,492,291,146,55,False,True,35
728,"Unless that briefcase has a lounge chair in it, you're really not going to like this...",1.5202492211838006,0.0260022377560472,642,367,216,59,False,True,87
728,You can’t stay. It’s a private island.,1.52020202020202,0.0291962058991793,594,361,157,76,False,True,38
728,Welcome. Please remove your shoe.,1.519543973941368,0.0281977128574331,614,368,173,73,False,True,33
728,"You sure look dusty, George",1.5186335403726707,0.0309545499988862,644,430,95,119,False,False,27
728,"If you're from Air Force One, put on a mask.",1.5160744500846024,0.0296043142089658,591,365,147,79,False,True,44
728,I take it Trump won?,1.5126353790613718,0.0303615389443678,554,342,140,72,True,True,20
728,"As a matter of fact, I would like to hear more about aluminum siding.",1.5107296137339057,0.0324692815299672,466,284,126,56,False,True,69
728,"Man, you’ve got to give up your commute. I’ve been working remotely since March.",1.5093378607809846,0.0291951604940285,589,363,152,74,False,True,80
728,Don't suppose you grabbed a miniature on the way down?,1.5093378607809846,0.0317533801283011,589,390,98,101,True,True,54
728,"And you were all,“That would never happen!”",1.5074074074074073,0.0292470838476756,540,323,160,57,False,False,43
728,"Since you're up, refill?",1.5069204152249136,0.0289996780445934,578,353,157,68,True,True,24
728,So how's President Hilary doing?,1.5063520871143377,0.0307057054758746,551,346,131,74,True,True,32
728,"It's a Zoom meeting, no one will know you're missing a shoe.",1.5061728395061729,0.0314729329283509,486,296,134,56,False,True,60
728,Welcome to Key West.  Party like it 2049!,1.5061295971978983,0.0315867361217117,571,376,103,92,False,True,41
728,"We're good here until global warming raises the water level 3 feet, so have a drink and relax.",1.5058365758754864,0.029820503148391,514,307,154,53,False,True,94
728,"‘ Yes I requested an absentee ballot ,can you show me some ID?’",1.5054151624548735,0.0289342668978726,554,333,162,59,True,False,63
728,"You're from the White House,right? I got out after the Primaries in 2018. Just don't come any closer.",1.5036496350364963,0.0314766819204883,548,352,116,80,True,True,101
728,"You know what, let's just file for an extension.",1.5031982942430704,0.0310230204760593,469,280,142,47,False,True,48
728,I'm remotely working too.,1.503006012024048,0.0307350331112866,499,303,141,55,False,True,25
728,How bad could it have gotten? I've only been here a year!,1.5021929824561404,0.0319652101933123,456,276,131,49,True,True,57
728,"Bottom line : It’s okay here , if you like pina coladas and getting caught in the rain ...",1.502127659574468,0.0326857265866749,470,293,118,59,False,True,90
728,"Don’t worry, you look like my before pic",1.502127659574468,0.0305329182217188,470,278,148,44,False,False,40
728,"Relax, take your shoe off",1.5018315018315018,0.0302612749382844,546,340,138,68,False,False,25
728,"Me? Carnival Cruise, 2016.",1.5010141987829615,0.0310101839963666,493,301,137,55,True,True,26
728,"Covidala, ONE SIP, YOU ARE CURED!",1.5009276437847867,0.0326300422781791,539,361,90,88,False,True,33
728,"Why, yes, Smithers, being out of rum and suntan lotion is the emergency I was referring to when I had you drop everything and take that ""rickety old seaplane"" to get here",1.5009242144177448,0.0325356147652629,541,357,97,87,False,False,170
728,"I TOLD YOU TO USE WAZE, BRO!",1.5009242144177448,0.0324302358213682,541,356,99,86,False,True,28
728,"You can’t let the virus dominate your life, bro",1.5,0.0308310676068745,494,301,139,54,False,False,47
728,Could I trouble you for the Wifi password?,1.4989733059548254,0.0306089686329032,487,294,143,50,True,True,42
728,"Still 2020 out there, huh?",1.49890590809628,0.0328038769966538,457,284,118,55,True,True,26
728,Island Shipwreck: Expectation vs. Reality,1.4981132075471697,0.0326290946972759,530,354,91,85,False,False,41
728,"Look, Buddy - why or how you got here doesn't change anything. Anyone traveling from the United States must quarantine for 14 days.",1.498076923076923,0.0300682291249234,520,318,145,57,False,True,131
728,Wasn’t sure if you had that last quarter mile in you.,1.4979338842975207,0.031161238185875,484,296,135,53,False,True,53
728,Tough commute?,1.497854077253219,0.031167674638855,466,281,138,47,True,True,14
728,You can change behind the palm.,1.497093023255814,0.036593021171363,344,209,99,36,False,True,31
728,Didn’t you get my email? I need to reschedule.,1.4970645792563602,0.0295617034833695,511,309,151,51,True,True,46
728,Please just tell me that you don't snore.,1.4961089494163424,0.0293080146688509,514,308,157,49,False,True,41
728,Welcome to the one place without election coverage.,1.4958333333333331,0.0310727692910899,480,293,136,51,False,True,51
728,Welcome to working from home stage 4; hallucination,1.495633187772926,0.0333282478656632,458,290,109,59,False,False,51
728,"Okay, supposing you’re right, and I am underinsured- then what?",1.4953488372093022,0.0330494796762459,430,264,119,47,True,True,63
728,Been here since January 2016. So how’s Trump working out.,1.4950884086444007,0.0317853644863863,509,324,118,67,False,True,57
728,Yacht problem? I HATE that...,1.4950884086444007,0.0329796496478691,509,334,98,77,True,True,29
728,"I appreciate your effort, but that's not my missing suitcase.",1.4944751381215469,0.0352617636615785,362,219,107,36,False,True,61
728,Those are the things that you bring to a deserted island?,1.4939516129032258,0.0302038970072223,496,301,145,50,True,True,57
728,"Come to think of it, we could've just Zoomed.",1.493421052631579,0.0324130923517405,456,283,121,52,False,True,45
728,"It's seawater, no ice.",1.4929859719438878,0.0340861216749976,499,335,82,82,False,True,22
728,"Welcome to “Just One Island”. Just one palm tree, just one mai tai, just one lounge chair, just one star fish, just one person.......",1.492929292929293,0.0330886154085828,495,323,100,72,False,True,133
728,Cocktails at 5:00?,1.4927234927234927,0.0342112726394193,481,319,87,75,True,True,18
728,"Sorry dude, you gotta go back. I’m self isolating.",1.4922737306843268,0.0321182771830377,453,279,125,49,False,True,50
728,Drink up! High tide's in an hour.,1.491902834008097,0.0306954329474316,494,306,134,54,False,True,33
728,"Let me guess, my wife is finally filing for a divorce.",1.4915966386554622,0.0309774701307864,476,291,136,49,False,True,54
728,I need you to put on a mask,1.4903225806451612,0.0330872300506054,465,297,108,60,False,False,27
728,"Relax, have a drink.  This is low tide.",1.4896694214876034,0.031836886969607,484,305,121,58,False,True,39
728,"Congratulations! You made it to the Winner's Circle.
Welcome to my world.",1.489451476793249,0.0346026806346711,474,317,82,75,False,True,73
728,Welcome to Sandals Cartoon.,1.488272921108742,0.0340971947232934,469,309,91,69,False,True,27
728,"You know, an intern really needs to be on time.",1.4881720430107528,0.0313596941075438,465,286,131,48,False,True,47
728,You just doubled the unemployment rate.,1.4877384196185286,0.0367788124024912,367,233,89,45,False,True,39
728,"Relax.  I was fooled by the time-share ad too""",1.4872389791183294,0.0319917277375963,431,262,128,41,False,False,46
728,"Dude, do I look like I need insurance?",1.486935866983373,0.0333936351343091,421,262,113,46,True,True,38
728,"Whoa, whoa, 6 feet bro.",1.486873508353222,0.0350105086121831,419,270,94,55,False,True,23
728,I do my own taxes.,1.4858490566037736,0.0313183188118406,424,253,136,35,False,True,18
728,Don’t tell me....Trump won again?,1.4845132743362832,0.0338002114620949,452,293,99,60,True,True,33
728,"You didn’t get my message, did you? I canceled our appointment.",1.4834123222748816,0.0348184417531917,422,273,94,55,True,True,63
728,Now I can't remember why I needed a notary.,1.4832904884318765,0.0346432144605168,389,243,104,42,False,True,43
728,"Democrat, right?",1.483221476510067,0.0331908876212492,447,288,105,54,True,True,16
728,I'm staying here until after the election.,1.483221476510067,0.0316435617499014,447,275,128,44,False,True,42
728,What three items did you bring?,1.483221476510067,0.0314846470225278,447,274,130,43,True,True,31
728,Did you also flee the West Wing strapped to an albatross?,1.483221476510067,0.0337899841585198,447,289,100,58,True,True,57
728,Looks like now I'll have to start wearing a mask,1.483009708737864,0.0344429217767249,412,262,101,49,False,False,48
728,I don’t think we have the same definition for “hot spot”,1.4824355971896956,0.0328770767022033,427,266,116,45,False,False,56
728,Hello I am from the Census Bureau,1.4821428571428572,0.0335833601122324,448,289,102,57,False,False,33
728,"I too looked like you when I stopped working at the White House. But here, try some of this bleach cocktail.",1.4821002386634845,0.0367558672225177,419,283,70,66,False,True,108
728,I try to enjoy low tide while it lasts,1.4820143884892083,0.0332786780908924,417,260,113,44,False,False,38
728,"To be fair, there were a lot more coconuts when I got here.",1.4817351598173516,0.031618470961068,438,268,129,41,False,True,59
728,"You didn't happen to grab any peanuts before it went down, did you?",1.481651376146789,0.0338138837710274,436,280,102,54,True,True,67
728,You have to call ahead to reserve the lounge chair.,1.4813829787234043,0.0345045665444284,376,232,107,37,False,True,51
728,"Put me down as ""undecided.""",1.4807692307692308,0.0329860596491243,416,258,116,42,False,False,27
728,"I'd normally invite you to stay, but I'm expecting guests this weekend.",1.4804597701149425,0.0312685271565456,435,264,133,38,False,True,71
728,I hope this means I won the Publisher's Clearing House.,1.480106100795756,0.0336071858518746,377,229,115,33,False,True,55
728,"Before you relax and settle in Dude, have you been near anyone in the GOP recently?",1.4779582366589328,0.0329767927017548,431,272,112,47,True,True,83
728,Do I look like a guy who files tax returns?,1.4778554778554778,0.0330895075858474,429,271,111,47,True,True,43
728,"Boy, you census workers just don't quit, do you?",1.477326968973747,0.0328095585264582,419,261,116,42,True,True,48
728,"Just so we're on the same page, a loincloth hanging on the palm tree means ""do not disturb"".",1.4772182254196642,0.0327477126549397,417,259,117,41,False,True,92
728,"Superior contact tracing, dude.  Have some coconut clorox.",1.476851851851852,0.0330817164951188,432,274,110,48,False,True,58
728,Don't be afraid of being a cast-away. Don't let it dominate your life. I feel better than I did 20 years ago.,1.4764150943396226,0.0335404503876958,424,270,106,48,False,True,109
728,I came here to relax. I'm getting the vibe you'd rather be somewhere else.,1.4749403341288785,0.0308315136398015,419,251,137,31,False,True,74
728,"Trust me, there is no better time to be stranded on a desert island than fall 2020.",1.4749403341288785,0.0338335695197027,419,268,103,48,False,True,83
728,"Yes, the oceans rose and the planet is ruined, but the biodiversity of this island just doubled.",1.4749403341288785,0.0322790439316903,419,259,121,39,False,True,96
728,You had a bad day? I’m out of rum!,1.4740932642487046,0.0342413655777729,386,242,105,39,True,True,34
728,"Isn't Hillary going to win, again?",1.473809523809524,0.0354145088165756,420,279,83,58,True,True,34
728,You’ll have to find another island. I’m social distancing.,1.473087818696884,0.0358834025701183,353,222,95,36,False,True,58
728,I see you got my bottle.,1.473053892215569,0.0368776371947098,334,210,90,34,False,True,24
728,Yeah I left when he started spewing about a wall.,1.4723618090452262,0.034967312369065,398,257,94,47,False,True,49
728,"Seriously, I was just like you; then I put the lime in the coconut and shook it all up...",1.472289156626506,0.0333796888519309,415,263,108,44,False,True,89
728,Welcome to Pikes Peak. Believe in global warming now?,1.4717444717444716,0.0349137526653954,407,265,92,50,True,True,53
728,"So, what are the three things you wished you had brought?",1.4717444717444716,0.032767798226743,407,253,116,38,True,True,57
728,OK... OK. I guess I'll call you Friday... Casual Friday',1.4701492537313432,0.0350592667951838,402,262,91,49,False,False,56
728,"Ahh, IT Support is finally here",1.4701492537313432,0.0326781864051699,402,249,117,36,False,False,31
728,I told you working remotely was the way to go.,1.4701492537313432,0.0330556720496162,402,251,113,38,False,True,46
728,"Well, well. The second lawyer to get into heaven arrives""",1.4692556634304208,0.0400895701015494,309,202,69,38,False,False,57
728,"Yeah, sometimes  I have survivor's guilt.",1.4691689008042896,0.0352992832148216,373,238,95,40,False,True,41
728,I suppose it was too much to hope for Ginger or Mary Ann.,1.4691689008042896,0.0352992832148216,373,238,95,40,False,True,57
728,"Dude, I told you to use Zoom.",1.4689119170984457,0.0334345913634046,386,240,111,35,False,True,29
728,"It’s peaceful, but the WiFi sucks.",1.468586387434555,0.0338862873937048,382,239,107,36,False,True,34
728,So what brings you to Fantasy Island?,1.4683544303797469,0.0371124455433965,395,268,69,58,True,True,37
728,"Yeah, I've been here about four years.  How is Hillary doing?",1.4683544303797469,0.0342303626972392,395,252,101,42,True,True,61
728,"I don’t know, man. Mexican ice cubes and melanomas don’t seem to matter much during a pandemic.",1.4683544303797469,0.0369389039018807,395,267,71,57,False,True,95
728,I ordered a woman.,1.4672131147540983,0.0351556543711237,366,232,97,37,False,True,18
728,"After two  of these, I'll look like Marilyn Monroe to you.",1.467191601049869,0.0349490872582867,381,244,96,41,False,True,58
728,I was doing a great job of social distancing until you showed up.,1.467032967032967,0.0355090638927017,364,232,94,38,False,True,65
